"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상"
"서울특별시 강북구 번2동(1130560300)","15,856","15,856","609","1,001","2,144","1,700","2,224","2,708","2,695","1,936","760","77","2"
"서울특별시 강북구 번3동(1130560800)","16,898","16,898","865","1,245","1,827","1,639","2,448","2,788","2,695","2,431","871","87","2"
"서울특별시 강북구 수유1동(1130561500)","20,603","20,603","923","1,285","2,982","2,727","2,841","3,503","3,400","1,969","866","103","4"
"서울특별시 강북구 수유2동(1130562500)","21,292","21,292","1,003","1,351","2,891","2,502","2,961","3,744","3,503","2,147","1,055","134","1"
"서울특별시 강북구 수유3동(1130563500)","23,042","23,042","741","1,083","4,120","3,336","3,170","3,963","3,511","2,130","889","95","4"
"서울특별시 강북구 우이동(1130564500)","20,581","20,581","1,012","1,364","2,539","2,586","2,872","3,539","3,396","2,119","1,015","134","5"
"서울특별시 강북구 인수동(1130566000)","30,446","30,446","1,436","2,041","3,890","3,732","4,216","5,280","5,142","3,120","1,391","193","5"
"서울특별시 도봉구 (1132000000)","317,943","317,943","17,188","24,395","41,691","39,291","46,305","56,044","51,330","27,496","12,406","1,684","113"
"서울특별시 도봉구 창제1동(1132051100)","24,794","24,794","1,443","2,064","3,239","3,301","3,912","4,199","3,588","1,946","974","124","4"
"서울특별시 도봉구 창제2동(1132051200)","29,098","29,098","1,627","2,140","4,113","3,936","4,429","5,120","4,265","2,334","1,016","115","3"
"서울특별시 도봉구 창제3동(1132051300)","13,839","13,839","682","1,027","1,745","1,579","2,076","2,507","2,249","1,354","567","46","7"
"서울특별시 도봉구 창제4동(1132051400)","26,598","26,598","1,640","2,535","3,528","3,312","4,227","4,850","3,723","1,688","933","152","10"
"서울특별시 도봉구 창제5동(1132051500)","24,630","24,630","1,446","1,871","3,553","3,453","3,426","4,307","3,836","1,767","846","122","3"
"서울특별시 도봉구 도봉제1동(1132052100)","21,123","21,123","803","1,128","2,514","2,268","2,824","3,718","3,989","2,689","1,071","117","2"
"서울특별시 도봉구 도봉제2동(1132052200)","26,902","26,902","1,525","1,586","3,190","3,446","3,638","4,402","4,890","2,820","1,191","189","25"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,380","21,380","1,090","1,551","2,890","2,527","3,055","3,737","3,441","2,046","914","113","16"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,768","18,768","944","1,319","2,455","2,487","2,671","3,237","3,111","1,632","780","113","19"
